Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,115372,77175424,77290796,1904834.8022470002,127693741057541.75,8002565.7226645,6097730.9204175,6877522,25320.65
BANKNIFTY,28651,1977240,2005891,515582.719041,3585885944532.9,869475.61437,353892.895329,685927,59610.45
VEDL,56435,307730,364165,460179.64334,261966712851.5,533886.094355,73706.451015,143451,680.0
HINDZINC,47712,262934,310646,385437.8858225,225584834958.0,463814.3129025,78376.42708,109437,626.0
MCX,18177,80999,99176,294033.6755625,135417135312.5,336885.0286875,42851.353125,44304,2515.0
ICICIBANK,30203,105720,135923,289981.86147,103633131819.0,303700.53966,13718.67819,243267,1357.0
DIXON,45770,347765,393535,240801.7224,193986092515.0,298001.64755,57199.92515,118287,10435.0
NATIONALUM,17949,61996,79945,261720.120375,95696519287.5,294150.4695,32430.349125,33116,383.0
IDEA,28940,92968,121908,226660.00473,80102959530.75,252811.9710375,26151.9663075,132927,11.13
HINDALCO,28077,79564,107641,190194.19811,56070766773.0,205054.18584,14859.98773,91449,962.8
BEL,24705,160781,185486,157963.055475,107159866506.0,187566.451785,29603.39631,164344,449.25
AXISBANK,19437,122189,141626,166841.544875,106770895037.5,183708.12025,16866.575375,160655,1366.9
SBIN,20082,110626,130708,162388.181025,91227556845.0,179904.149475,17515.96845,153376,1077.0
TATASTEEL,15223,67228,82451,162895.0037,74053133385.0,179840.56255,16945.55885,73229,192.58
BSE,14453,46705,61158,154276.5910125,51360626328.75,171255.1668,16978.5757875,49683,2775.8
MIDCPNIFTY,7202,249031,256233,115903.920912,403534216976.4,167172.200676,51268.279764,120340,13400.05
ITC,28799,200729,229528,149053.06576,108651530208.0,166019.84784,16966.78208,242840,322.3
HDFCBANK,30004,122427,152431,154512.107035,64230560333.5,164202.89787,9690.790835,595207,929.0
INFY,23280,87602,110882,152211.65792,58902925836.0,160575.95628,8364.29836,202027,1642.7
NESTLEIND,21426,119138,140564,141257.49685,81229054820.0,159115.44505,17857.9482,49589,1332.5
RELIANCE,19837,115060,134897,138517.87335,82328152055.0,150957.6939,12439.82055,392599,1397.0
MARUTI,17528,198873,216401,127705.75277,150320092418.0,146776.32695,19070.57418,150315,14580.0
CANBK,13123,43067,56190,131527.773675,45581482282.5,141716.034,10188.260325,59289,147.25
AUROPHARMA,18897,54250,73147,124764.429625,37169506863.5,135187.65326,10423.223635,47100,1198.9
M&M,18511,47306,65817,126139.10026,33367094804.0,132762.8483,6623.74804,129201,3444.3
PAYTM,12996,57014,70010,107096.3590275,50002426639.25,119207.37042,12111.0113925,43395,1130.0
